state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc
Andaman and Nicobar,Andaman Islands,0.05555555643513799,,1.0,0.05555555643513799,0.0,NO ALERT,NO ALERT,20260320,06
Andaman and Nicobar,Nicobar Islands,0.0,,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Adilabad,2.915760890347883,4.0761606715570755,1.397974945425221,4.0761606715570755,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Anantapur,0.002314814832061529,1.9265067143587822,1.0,0.002314814832061529,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Chittoor,0.2565789520740509,3.368414262952397,3.0,0.7697368562221527,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Cuddapah,0.013586956076323986,2.8571641284965774,1.0,0.013586956076323986,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,East Godavari,1.6580882724374533,3.3492775543455537,2.019963357814471,3.3492775543455537,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Guntur,0.4958333489485085,3.0654587271482976,3.0,1.4875000468455255,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Hyderabad,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Karimnagar,1.024305559694767,3.5730150651793413,3.0,3.072916679084301,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Khammam,1.9243421196006238,4.416975799746537,2.2953173215702583,4.416975799746537,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Krishna,0.8437499795109034,3.4360674204143216,3.0,2.53124993853271,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Kurnool,0.0,2.5482708497530937,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Mahbubnagar,0.050925927236676216,3.293773324024792,1.0,0.050925927236676216,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Medak,0.2836538553237915,3.901761604718338,3.0,0.8509615659713745,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Nalgonda,0.37499999813735485,3.142273747282531,3.0,1.1249999944120646,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Nellore,0.0036764706019312143,3.2547211519731425,1.0,0.0036764706019312143,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Nizamabad,0.06250000186264515,4.24615838111449,1.0,0.06250000186264515,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Prakasam,0.09374999767169356,2.9739221101031386,1.0,0.09374999767169356,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Rangareddi,0.30555555410683155,3.238285027900243,3.0,0.9166666623204947,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Srikakulam,1.2625000239349902,3.6466694468329797,2.888450992235987,3.6466694468329797,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Vishakhapatnam,2.8708333652466536,4.049484087779039,1.4105604793370232,4.049484087779039,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Vizianagaram,2.09027780033648,3.6526970084354033,1.7474696463060626,3.6526970084354033,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,Warangal,2.690972235519439,4.7987332541648655,1.7832711875745404,4.7987332541648655,0.0,NO ALERT,NO ALERT,20260320,06
Andhra Pradesh,West Godavari,1.550000021699816,3.415769921130922,2.2037224989100315,3.4157699211309214,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Changlang,0.5390625,4.89083025607038,3.0,1.6171875,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,East Kameng,4.787500061094761,5.791025117627562,1.2096135861569732,5.791025117627562,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,East Siang,1.1696428712457418,6.330953408489022,3.0,3.5089286137372255,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Kurung Kumey,6.556249901652336,4.137760567638564,0.6311169692594766,4.137760567638564,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Lohit,1.2333333129063249,3.352644383674615,2.718360356110204,3.352644383674615,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Lower Dibang Valley,0.984375,4.36475346556112,3.0,2.953125,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Lower Subansiri,3.5124999433755875,6.833237013286107,1.9454055867454962,6.833237013286107,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Papum Pare,3.537500080652535,6.720894157286376,1.8998993651037954,6.720894157286376,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Tawang,2.3500000331550837,3.900652216734135,1.65985198370281,3.900652216734135,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Tirap,1.15625,5.716696637047276,3.0,3.46875,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Upper Dibang Valley,2.3409091345965862,5.1357079146900775,2.193894602224757,5.1357079146900775,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Upper Siang,2.8333333041518927,7.19857259797814,2.5406727078065754,7.19857259797814,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,Upper Subansiri,4.359375,4.529720501861956,1.0390756706780113,4.529720501861956,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,West Kameng,5.357954502105713,3.860915239170138,0.720595002748301,3.860915239170138,0.0,NO ALERT,NO ALERT,20260320,06
Arunachal Pradesh,West Siang,4.107954470440745,6.463129215372975,1.5733205569533835,6.463129215372975,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Barpeta,6.354166626930237,4.229690057692462,0.6656561443897591,4.229690057692462,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Bongaigaon,9.28125,5.193898582632003,0.559611968499071,5.193898582632003,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Cachar,11.229166626930237,6.444271537175053,0.5738868921688404,6.444271537175053,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Darrang,3.787500006146729,4.472307815772213,1.1808073421819434,4.472307815772213,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Dhemaji,0.15625,5.371290603422955,3.0,0.46875,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Dhuburi,11.71875,6.0698758556061,0.5179627396783872,6.0698758556061,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Dibrugarh,0.125,5.371645166684095,3.0,0.375,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Goalpara,10.458333238959312,5.112245992064204,0.4888203383135756,5.112245992064204,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Golaghat,3.550000091083348,5.587372981999835,1.5739078418712786,5.587372981999835,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Hailakandi,24.375,6.969037029157354,0.3,7.3125,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Jorhat,0.43750000186264515,3.849308299664493,3.0,1.3125000055879354,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Kamrup,5.072916731238365,4.595322947904944,0.9058542040730808,4.595322947904944,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Karbi Anglong,6.812500074505806,3.5215658943346013,0.5169270981020964,3.5215658943346013,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Karimganj,19.645833179354668,6.978978345492115,0.35523962164283035,6.978978345492115,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Kokrajhar,12.578125,6.306809190808706,0.5014109170332387,6.306809190808705,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Lakhimpur,1.5625000223517418,7.606728222571552,3.0,4.687500067055225,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Marigaon,2.78125,3.2005068986893517,1.15074405346134,3.200506898689352,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Nagaon,2.343750022351742,4.233937135175482,1.806479827113605,4.233937135175482,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Nalbari,6.020833255723119,3.8994412764090383,0.6476580750185058,3.8994412764090383,0.0,NO ALERT,NO ALERT,20260320,06
Assam,North Cachar Hills,6.035714286379516,4.569639355789892,0.7571000115267154,4.569639355789892,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Sibsagar,0.16666666232049465,5.58661788282193,3.0,0.49999998696148396,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Sonitpur,3.5250000432133675,5.10844658204954,1.4492046863615675,5.10844658204954,0.0,NO ALERT,NO ALERT,20260320,06
Assam,Tinsukia,0.1374999973922968,5.118477881134373,3.0,0.4124999921768904,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Araria,2.71875,3.4563262750381885,1.2712924230025522,3.456326275038189,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Aurangabad,2.6666667237877846,2.435437284076595,0.9132889619656906,2.435437284076595,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Banka,1.78125,3.132104997132739,1.7583747352324148,3.132104997132739,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Begusarai,4.625,3.9943963094321018,0.8636532560934274,3.9943963094321013,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Bhabua,2.895833320915699,2.612368947774444,0.902113021804853,2.612368947774444,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Bhagalpur,2.541666656732559,2.627949439710406,1.0339473245829836,2.627949439710406,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Bhojpur,2.25,2.0000855676319502,0.8889269189475334,2.0000855676319502,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Buxar,0.75,2.5236547584811304,3.0,2.25,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Darbhanga,3.9375,3.094437751617946,0.7858889527918593,3.094437751617946,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Gaya,3.2999999709427357,2.9891710743593842,0.9058094244484025,2.9891710743593842,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Gopalganj,2.359375,2.6663937094429992,1.1301271351281585,2.6663937094429992,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Jamui,1.0624999925494194,3.042330241380217,2.8633696590249254,3.042330241380217,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Jehanabad,4.9375,2.3227897980441785,0.47043844011021335,2.3227897980441785,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Katihar,3.3874999433755875,3.0951194992743125,0.9136884283428437,3.0951194992743125,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Khagaria,4.4375,3.271880493639675,0.7373251816652788,3.271880493639675,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Kishanganj,5.46875,6.333738160051712,1.158169263552313,6.333738160051713,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Lakhisarai,2.604166630655527,2.8760375851093363,1.1043984479539135,2.8760375851093363,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Madhepura,4.03125,3.0318052939101032,0.7520757318226613,3.0318052939101032,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Madhubani,4.262500062584877,2.8097297488377517,0.6591741249462569,2.8097297488377517,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Munger,2.15625,3.034881180933077,1.4074811273892531,3.034881180933077,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Muzaffarpur,3.6875,2.179447337729882,0.5910365661640358,2.179447337729882,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Nalanda,8.0,3.185450972228834,0.3981813715286043,3.185450972228834,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Nawada,2.75,2.618970641922461,0.9523529606990767,2.618970641922461,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Pashchim Champaran,3.96875,3.2414981748092258,0.8167554456212223,3.2414981748092258,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Patna,5.21875,2.68387096503826,0.514274675935475,2.6838709650382606,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Purba Champaran,5.999999947845936,2.685162770417455,0.447527132292969,2.685162770417455,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Purnia,3.062500011175871,3.033360581698755,0.9904850842870928,3.033360581698755,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Rohtas,1.9250000193715096,2.5139839563916806,1.30596567848995,2.5139839563916806,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Saharsa,6.687500037252903,2.490299851974668,0.37238128420222566,2.490299851974668,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Samastipur,5.0625,2.8895152297228166,0.5707684404390749,2.889515229722817,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Saran,1.7249999791383743,2.539369545334006,1.4720983049532579,2.539369545334006,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Sheikhpura,3.84375,2.2952085739741586,0.5971274338794559,2.2952085739741586,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Sheohar,6.5625,2.3062907262615964,0.3514347773351004,2.3062907262615964,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Sitamarhi,2.125000011175871,2.3511557362055124,1.1064262229836404,2.3511557362055124,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Siwan,0.8124999925494194,3.1477599899790603,3.0,2.437499977648258,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Supaul,7.2916668355464935,4.323036430327043,0.5928735538563649,4.323036430327043,0.0,NO ALERT,NO ALERT,20260320,06
Bihar,Vaishali,6.125,2.5530183405653664,0.4168193209086312,2.5530183405653664,0.0,NO ALERT,NO ALERT,20260320,06
Chandigarh,Chandigarh,0.625,3.3424762437196627,3.0,1.875,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Bastar,4.0568181006237864,4.3570775285186905,1.0740135299260116,4.3570775285186905,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Bilaspur,2.8906250996515155,3.6573216583937,1.2652355571238258,3.6573216583936996,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Dantewada,1.483695663511753,5.168888140748909,3.0,4.451086990535259,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Dhamtari,6.302083333954215,3.6842112810576344,0.5846021205730378,3.6842112810576344,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Durg,2.354166667442769,3.2083347326782468,1.362832452369791,3.2083347326782468,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Janjgir-Champa,6.656250040046871,3.9399775100080934,0.5919215002897261,3.9399775100080934,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Jashpur,2.287500001490116,3.7283819402652245,1.6298937433165,3.7283819402652245,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Kanker,5.298611044883728,4.337277670336187,0.8185687972934355,4.337277670336187,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Kawardha,2.8750000428408384,2.442919880386493,0.8497112500814437,2.442919880386493,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Korba,2.7777778059244156,3.3406741153159643,1.202642669327622,3.3406741153159643,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Koriya,4.539772717282176,3.694853365239438,0.813885098514675,3.694853365239438,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Mahasamund,4.196428574621677,3.578157983134171,0.8526674336299777,3.578157983134171,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Raigarh,3.193181758746505,3.683984084603647,1.1537032223464185,3.6839840846036465,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Raipur,3.66015625,3.540697332435887,0.9673623448277343,3.540697332435887,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Raj Nandgaon,2.0227273404598236,3.440559333345736,1.700950624696455,3.440559333345736,0.0,NO ALERT,NO ALERT,20260320,06
Chhattisgarh,Surguja,2.0807291520759463,4.257611592557094,2.046211342936811,4.257611592557094,0.0,NO ALERT,NO ALERT,20260320,06
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.0,9.264040700499326,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Daman and Diu,Daman,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Daman and Diu,Junagadh,0.4375,3.6368206819851103,3.0,1.3125,0.0,NO ALERT,NO ALERT,20260320,06
Delhi,Delhi,0.0416666679084301,1.9200712068984498,1.0,0.0416666679084301,0.0,NO ALERT,NO ALERT,20260320,06
Goa,North Goa,0.0,13.505431099511581,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Goa,South Goa,0.0,14.29902814466115,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Ahmadabad,0.0,2.529961809636387,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Amreli,0.25,2.5750922947453976,3.0,0.75,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Anand,0.0,3.065482129160672,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Banas Kantha,0.0,2.7459797826531815,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Bharuch,0.0,3.9169908557036153,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Bhavnagar,0.0,2.9053857857131793,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Dahod,0.0,2.906769464824978,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Gandhinagar,0.0,2.876370356344197,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Jamnagar,0.0,2.4818618488651127,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Junagadh,0.17045453935861588,3.6205693714645406,3.0,0.5113636180758476,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Kachchh,0.0,2.0250569240912184,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Kheda,0.0,3.163180482646102,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Mahesana,0.0,2.6270610681514452,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Narmada,0.0,5.34905416001502,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Navsari,0.046875,6.1155705042642685,1.0,0.046875,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Panch Mahals,0.0,3.3990253138909603,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Patan,0.0,2.0096662662843956,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Porbandar,0.0,3.1946614089757883,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Rajkot,0.0,2.388839702446983,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Sabar Kantha,0.0,3.5320490326284455,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Surat,0.0,4.690214726257405,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Surendranagar,0.0,1.9329296547555488,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,The Dangs,0.0,6.600081143191416,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Vadodara,0.0,3.6477713673320262,1.0,0.0,0.0,NO ALERT,NO ALERT,20260320,06
Gujarat,Valsad,0.03125,8.312652764760264,1.0,0.03125,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Ambala,2.4166667461395264,2.704910964944047,1.1192734659278,2.704910964944047,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Bhiwani,1.4017857238650322,1.7535685586427756,1.2509533581265193,1.7535685586427758,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Faridabad,0.109375,1.7016664346501436,3.0,0.328125,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Fatehabad,3.5208332538604736,1.5311414072162484,0.4348804094989173,1.5311414072162484,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Gurgaon,0.203125,2.600977749413211,3.0,0.609375,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Hisar,2.5,1.6381996895189155,0.6552798758075662,1.6381996895189155,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Jhajjar,0.3541666716337204,2.458093470933775,3.0,1.0625000149011612,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Jind,1.171875,1.3022532545948682,1.1112561105876209,1.3022532545948682,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Kaithal,0.2500000074505806,1.7808083626709572,3.0,0.7500000223517418,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Karnal,0.2750000059604645,1.8186899942037178,3.0,0.8250000178813934,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Kurukshetra,1.375,2.771564780522699,2.015683476743781,2.771564780522699,0.0,NO ALERT,NO ALERT,20260320,06
Haryana,Mahendragarh,0.71875,2.597586792921775,3.0,2.15625,0.0,NO ALERT,NO ALERT,20260320,06
