state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_raw,alert_gfs_bc,alert_icon,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_cal,date,cycle_utc
Assam,Cachar,10.989583333333334,6.4442715371750525,0.5863981683116635,6.444271537175052,0.0,MODERATE,NO ALERT,NO ALERT,1.0323300341535633,12.0,51,10.989583333333334,MODERATE,20260810,12
Assam,Hailakandi,14.46875,6.969037029157354,0.4816613065508322,6.969037029157354,0.0,MODERATE,NO ALERT,NO ALERT,0.9601924987478755,12.0,42,13.892785216258323,MODERATE,20260810,12
Assam,Karimganj,11.416666666666666,6.9789783454921155,0.6112973733277766,6.9789783454921155,0.0,MODERATE,NO ALERT,NO ALERT,0.983761041231827,12.0,40,11.416666666666666,MODERATE,20260810,12
Chhattisgarh,Baloda Bazar,10.822916666666668,3.1541568209693587,0.3,3.246875,0.0,MODERATE,NO ALERT,NO ALERT,1.9515654979791375,12.0,14,10.822916666666668,MODERATE,20260810,12
Chhattisgarh,Balrampur,25.48863636363636,5.02508887404003,0.3,7.646590909090907,0.0,MODERATE,NO ALERT,NO ALERT,1.467634162938245,12.0,17,37.407993493982765,MODERATE,20260810,12
Chhattisgarh,Bemetara,10.916666666666666,2.507864930001024,0.3,3.275,0.0,MODERATE,NO ALERT,NO ALERT,1.5293955947136566,12.0,8,10.916666666666666,MODERATE,20260810,12
Chhattisgarh,Janjgir - Champa,27.419642857142854,3.9216228504557664,0.3,8.225892857142856,0.0,MODERATE,NO ALERT,NO ALERT,1.6094776113173481,12.0,19,44.13130128888907,MODERATE,20260810,12
Chhattisgarh,Jashpur,18.166666666666668,3.589002029556934,0.3,5.45,0.0,MODERATE,NO ALERT,NO ALERT,0.68441609545746,12.0,56,12.43355906747719,MODERATE,20260810,12
Chhattisgarh,Mahasamund,11.526785714285715,3.578157983134171,0.3104211418365818,3.578157983134171,0.0,MODERATE,NO ALERT,NO ALERT,1.6739964701340244,12.0,45,11.526785714285715,MODERATE,20260810,12
Chhattisgarh,Raigarh,23.488636363636363,3.7652820813255024,0.3,7.0465909090909085,0.0,MODERATE,NO ALERT,NO ALERT,1.531468257440328,12.0,56,35.972101001467706,MODERATE,20260810,12
Chhattisgarh,Surajpur,16.984375,3.9400623277493128,0.3,5.0953124999999995,0.0,MODERATE,NO ALERT,NO ALERT,0.9650575468125997,12.0,21,16.39089927164525,MODERATE,20260810,12
Chhattisgarh,Surguja,15.8,3.0772403969870856,0.3,4.74,0.0,MODERATE,NO ALERT,NO ALERT,0.9991156893167499,12.0,53,15.786027891204649,MODERATE,20260810,12
Goa,North Goa,4.53125,13.505431099511581,2.980508932306004,13.505431099511581,0.0,NO ALERT,MODERATE,NO ALERT,1.6371156190773462,12.0,55,4.53125,NO ALERT,20260810,12
Goa,South Goa,4.479166666666667,14.29902814466115,3.0,13.4375,0.0,NO ALERT,MODERATE,NO ALERT,2.0591750201949583,12.0,57,4.479166666666667,NO ALERT,20260810,12
Haryana,Mewat,10.083333333333334,2.450242869984614,0.3,3.025,0.0,MODERATE,NO ALERT,NO ALERT,1.859485083627968,12.0,7,10.083333333333334,MODERATE,20260810,12
Haryana,Rewari,15.125,2.422718656267205,0.3,4.5375,0.0,MODERATE,NO ALERT,NO ALERT,0.6370819045358402,12.0,12,9.635863806104584,NO ALERT,20260810,12
Haryana,Rohtak,10.1875,2.1793504667132413,0.3,3.05625,0.0,MODERATE,NO ALERT,NO ALERT,0.8575876568499154,12.0,15,10.1875,MODERATE,20260810,12
Himachal Pradesh,Hamirpur,10.8125,5.297622990618422,0.48995357138667484,5.297622990618422,0.0,MODERATE,NO ALERT,NO ALERT,0.5413588917282216,12.0,22,10.8125,MODERATE,20260810,12
Himachal Pradesh,Solan,11.041666666666668,5.007781369405794,0.453534916474487,5.007781369405794,0.0,MODERATE,NO ALERT,NO ALERT,0.6843090627178297,12.0,16,11.041666666666668,MODERATE,20260810,12
Jammu And Kashmir,Kathua,11.85,6.077323382664217,0.5128542938957145,6.077323382664217,0.0,MODERATE,NO ALERT,NO ALERT,2.4197376185458372,12.0,10,11.85,MODERATE,20260810,12
Jammu And Kashmir,Udhampur,10.145833333333332,5.312538580099742,0.5236177655950465,5.312538580099742,0.0,MODERATE,NO ALERT,NO ALERT,1.7403321937042076,12.0,9,10.145833333333332,MODERATE,20260810,12
Jharkhand,Garhwa,17.232142857142858,3.2918288280294368,0.3,5.169642857142857,0.0,MODERATE,NO ALERT,NO ALERT,0.8462034046435895,12.0,18,14.581897955018997,MODERATE,20260810,12
Jharkhand,Gumla,15.041666666666668,4.433724703415208,0.3,4.5125,0.0,MODERATE,NO ALERT,NO ALERT,0.804919550872569,12.0,46,12.107331577708225,MODERATE,20260810,12
Jharkhand,Khunti,14.354166666666668,5.64689901684109,0.3933978995767377,5.64689901684109,0.0,MODERATE,NO ALERT,NO ALERT,1.6304251958166314,12.0,15,23.403394998284565,MODERATE,20260810,12
Jharkhand,Latehar,14.854166666666668,4.138837377107851,0.3,4.45625,0.0,MODERATE,NO ALERT,NO ALERT,1.0032058351285984,12.0,29,14.901786675972723,MODERATE,20260810,12
Jharkhand,Lohardaga,16.8125,4.829176806076749,0.3,5.04375,0.0,MODERATE,NO ALERT,NO ALERT,0.6926329320104619,12.0,34,11.644891169425891,MODERATE,20260810,12
Jharkhand,Simdega,15.0,4.722004674285753,0.3148003116190502,4.722004674285753,0.0,MODERATE,NO ALERT,NO ALERT,1.3617981064251634,12.0,47,20.426971596377452,MODERATE,20260810,12
Jharkhand,West Singhbhum,11.9921875,4.9417450829472855,0.4120803717376238,4.9417450829472855,0.0,MODERATE,NO ALERT,NO ALERT,1.2408041170587942,12.0,23,11.9921875,MODERATE,20260810,12
Karnataka,Dakshina Kannada,5.598214285714286,13.074860333218266,2.3355412397455275,13.074860333218265,0.0,NO ALERT,MODERATE,NO ALERT,2.742574990509235,12.0,15,5.598214285714286,NO ALERT,20260810,12
Karnataka,Udupi,4.5875,14.578487922463514,3.0,13.762500000000001,0.0,NO ALERT,MODERATE,NO ALERT,2.027858590559099,12.0,59,4.5875,NO ALERT,20260810,12
Kerala,Ernakulam,3.4625,10.177863784469153,2.93945524461203,10.177863784469153,0.0,NO ALERT,MODERATE,NO ALERT,2.1568709696025836,12.0,15,3.4625,NO ALERT,20260810,12
Kerala,Kannur,3.640625,10.566954582174347,2.902511129867632,10.566954582174347,0.0,NO ALERT,MODERATE,NO ALERT,2.064825613461089,12.0,36,3.640625,NO ALERT,20260810,12
Kerala,Kasaragod,3.625,13.983345633411789,3.0,10.875,0.0,NO ALERT,MODERATE,NO ALERT,2.190811209030605,12.0,45,3.625,NO ALERT,20260810,12
Madhya Pradesh,Agar Malwa,27.3375,3.2112242809958653,0.3,8.20125,0.0,MODERATE,NO ALERT,NO ALERT,0.5664595469255664,12.0,9,15.485587864077672,MODERATE,20260810,12
Madhya Pradesh,Ashoknagar,11.28125,4.194420456246698,0.3718045833792087,4.194420456246698,0.0,MODERATE,NO ALERT,NO ALERT,0.5037909268248514,12.0,18,11.28125,MODERATE,20260810,12
Madhya Pradesh,Bhopal,14.7,3.573235743466305,0.3,4.409999999999999,0.0,MODERATE,NO ALERT,NO ALERT,0.7915272877164056,12.0,22,11.63545112943116,MODERATE,20260810,12
Madhya Pradesh,Guna,13.57638888888889,4.3769089363844245,0.3223912464651443,4.3769089363844245,0.0,MODERATE,NO ALERT,NO ALERT,0.8102878409657404,12.0,22,11.000782840889045,MODERATE,20260810,12
Madhya Pradesh,Gwalior,12.4140625,3.402136123601398,0.3,3.72421875,0.0,MODERATE,NO ALERT,NO ALERT,0.8479921303977093,12.0,15,10.527027306265312,MODERATE,20260810,12
Madhya Pradesh,Jhabua,10.35,3.345895579563428,0.32327493522351963,3.345895579563428,0.0,MODERATE,NO ALERT,NO ALERT,0.41172130801984236,12.0,16,10.35,MODERATE,20260810,12
Madhya Pradesh,Mandsaur,28.916666666666668,3.002173878842202,0.3,8.675,0.0,MODERATE,NO ALERT,NO ALERT,0.730023174964728,12.0,27,21.109836809396718,MODERATE,20260810,12
Madhya Pradesh,Nimach,18.5,3.500246028822579,0.3,5.55,0.0,MODERATE,NO ALERT,NO ALERT,0.6373705339221196,12.0,14,11.791354877559213,MODERATE,20260810,12
Madhya Pradesh,Nivari,14.1875,2.773511225883275,0.3,4.25625,0.0,MODERATE,NO ALERT,NO ALERT,0.25,12.0,4,3.546875,NO ALERT,20260810,12
Madhya Pradesh,Rajgarh,17.859375,3.9925128362766684,0.3,5.3578125,0.0,MODERATE,NO ALERT,NO ALERT,0.7240489012998527,12.0,23,12.931060846652056,MODERATE,20260810,12
Madhya Pradesh,Ratlam,57.0234375,3.833105525930655,0.3,17.10703125,0.0,MODERATE,MODERATE,NO ALERT,0.844654626730361,12.0,23,48.16511031644457,MODERATE,20260810,12
Madhya Pradesh,Sagar,10.736607142857142,3.4089503539460044,0.317507226313474,3.408950353946004,0.0,MODERATE,NO ALERT,NO ALERT,1.0801839594030413,12.0,17,10.736607142857142,MODERATE,20260810,12
Madhya Pradesh,Sehore,10.671875,3.541563743439643,0.3318595601466137,3.541563743439643,0.0,MODERATE,NO ALERT,NO ALERT,0.8314011660947473,12.0,33,10.671875,MODERATE,20260810,12
Madhya Pradesh,Shajapur,10.8375,2.494500280349222,0.3,3.25125,0.0,MODERATE,NO ALERT,NO ALERT,0.6328058439103413,12.0,27,10.8375,MODERATE,20260810,12
Madhya Pradesh,Sheopur,13.15625,4.173488444551723,0.3172247748827913,4.173488444551723,0.0,MODERATE,NO ALERT,NO ALERT,0.6659324713577198,12.0,17,8.761174076300001,NO ALERT,20260810,12
Madhya Pradesh,Singrauli,15.4375,3.780161213157462,0.3,4.63125,0.0,MODERATE,NO ALERT,NO ALERT,0.8261496619454233,12.0,11,12.753685406282472,MODERATE,20260810,12
Madhya Pradesh,Tikamgarh,13.321428571428571,3.9364336428664433,0.3,3.996428571428571,0.0,MODERATE,NO ALERT,NO ALERT,1.0555769765556742,12.0,12,14.061793294830945,MODERATE,20260810,12
Madhya Pradesh,Ujjain,43.223214285714285,2.717961462466101,0.3,12.966964285714285,0.0,MODERATE,MODERATE,NO ALERT,0.9228426392075687,12.0,26,39.88822514646286,MODERATE,20260810,12
Madhya Pradesh,Vidisha,13.65625,3.5537631964377345,0.3,4.096875,0.0,MODERATE,NO ALERT,NO ALERT,0.8592328138706915,12.0,22,11.733898114421631,MODERATE,20260810,12
Maharashtra,Palghar,7.9296875,10.010080503271764,1.2623549797229416,10.010080503271764,0.0,NO ALERT,MODERATE,NO ALERT,3.631451043965953,12.0,24,7.9296875,NO ALERT,20260810,12
Maharashtra,Ratnagiri,6.363636363636363,11.590113290838183,1.8213035171317145,11.590113290838183,0.0,NO ALERT,MODERATE,NO ALERT,2.0005068591855575,12.0,61,6.363636363636363,NO ALERT,20260810,12
Maharashtra,Raygad,11.0875,11.807937529560638,1.064977454751805,11.807937529560638,0.0,MODERATE,MODERATE,NO ALERT,2.509230461831698,12.0,28,11.0875,MODERATE,20260810,12
Maharashtra,Sindhudurg,6.430555555555555,12.043613216394341,1.8728728975818414,12.043613216394341,0.0,NO ALERT,MODERATE,NO ALERT,1.846558903892607,12.0,63,6.430555555555555,NO ALERT,20260810,12
Maharashtra,Thane,12.196428571428571,9.016492975688378,0.7392732161618583,9.016492975688378,0.0,MODERATE,NO ALERT,NO ALERT,1.7210846429006417,12.0,54,20.991085912520326,MODERATE,20260810,12
Manipur,Pherzawl,11.96875,3.085143520193149,0.3,3.5906249999999997,0.0,MODERATE,NO ALERT,NO ALERT,0.3833734445433977,12.0,31,11.96875,MODERATE,20260810,12
Meghalaya,East Garo Hills,15.40625,6.782366474340224,0.4402347407279658,6.782366474340224,0.0,MODERATE,NO ALERT,NO ALERT,0.9967075160080913,12.0,28,15.355525168499655,MODERATE,20260810,12
Meghalaya,East Khasi Hills,10.953125,9.036706911027432,0.8250345824618482,9.036706911027432,0.0,MODERATE,NO ALERT,NO ALERT,1.7731585473402074,12.0,57,10.953125,MODERATE,20260810,12
Meghalaya,North Garo Hills,12.75,7.103241623346119,0.5571169900663623,7.103241623346119,0.0,MODERATE,NO ALERT,NO ALERT,0.8316969162995594,12.0,7,10.604135682819383,MODERATE,20260810,12
Meghalaya,Ri-Bhoi,11.083333333333334,3.762665753964692,0.3394886394554609,3.762665753964692,0.0,MODERATE,NO ALERT,NO ALERT,0.5624654754019315,12.0,58,11.083333333333334,MODERATE,20260810,12
Meghalaya,South Garo Hills,12.145833333333334,11.48625354972332,0.9456949749343385,11.48625354972332,0.0,MODERATE,MODERATE,NO ALERT,1.5749435169201305,12.0,25,19.129001465925754,MODERATE,20260810,12
Meghalaya,South West Garo Hills,12.4375,9.75934256809215,0.7846707592435899,9.75934256809215,0.0,MODERATE,NO ALERT,NO ALERT,0.7232451764705882,12.0,6,8.99536188235294,NO ALERT,20260810,12
Meghalaya,South West Khasi Hills,7.3125,21.176664322880033,2.8959540954365854,21.176664322880033,0.0,NO ALERT,MODERATE,NO ALERT,2.8319438164854502,12.0,15,7.3125,NO ALERT,20260810,12
Meghalaya,West Garo Hills,13.625,8.69283728193849,0.6380064060138341,8.69283728193849,0.0,MODERATE,NO ALERT,NO ALERT,1.5237988318931226,12.0,30,20.761759084543794,MODERATE,20260810,12
Meghalaya,West Khasi Hills,17.739583333333332,8.573968657402142,0.48332412866154184,8.573968657402142,0.0,MODERATE,NO ALERT,NO ALERT,1.7733453064282125,12.0,49,31.45840684215881,MODERATE,20260810,12
Mizoram,Aizawl,18.583333333333332,5.47242582513181,0.3,5.574999999999999,0.0,MODERATE,NO ALERT,NO ALERT,0.6650814347968395,12.0,53,12.359429996641266,MODERATE,20260810,12
Mizoram,Champhai,11.484375,4.216533580116213,0.36715394439107163,4.216533580116213,0.0,MODERATE,NO ALERT,NO ALERT,0.6895019015444709,12.0,48,11.484375,MODERATE,20260810,12
Mizoram,Kolasib,21.03125,6.8958262189712425,0.32788475335375894,6.8958262189712425,0.0,MODERATE,NO ALERT,NO ALERT,0.9302604622391638,12.0,51,19.564540346467414,MODERATE,20260810,12
Mizoram,Lawngtlai,11.208333333333334,7.023478090103086,0.6266300154738812,7.023478090103086,0.0,MODERATE,NO ALERT,NO ALERT,1.056240527216348,12.0,44,11.208333333333334,MODERATE,20260810,12
Mizoram,Lunglei,18.041666666666668,6.79403223527689,0.3765745349807052,6.79403223527689,0.0,MODERATE,NO ALERT,NO ALERT,0.8154471901582673,12.0,46,14.712026389105407,MODERATE,20260810,12
Mizoram,Mamit,21.208333333333332,6.510763561269736,0.3069908162484748,6.510763561269736,0.0,MODERATE,NO ALERT,NO ALERT,0.6235938571785682,12.0,35,13.225386387662134,MODERATE,20260810,12
Mizoram,Serchhip,22.5,6.423519842530767,0.3,6.75,0.0,MODERATE,NO ALERT,NO ALERT,0.6309911463495209,12.0,43,14.19730079286422,MODERATE,20260810,12
Odisha,Baragarh,11.5625,3.768559723148403,0.3259294895695916,3.768559723148403,0.0,MODERATE,NO ALERT,NO ALERT,2.9220920406118336,12.0,27,11.5625,MODERATE,20260810,12
Odisha,Deogarh,21.375,4.559815881785737,0.3,6.4125,0.0,MODERATE,NO ALERT,NO ALERT,1.8212312156627268,12.0,30,38.928817234790785,MODERATE,20260810,12
Odisha,Jagatsinghpur,12.0,3.5297197348961276,0.3,3.5999999999999996,0.0,MODERATE,NO ALERT,NO ALERT,2.0826745153638773,12.0,15,12.0,MODERATE,20260810,12
Odisha,Jajapur,10.2875,4.709031954223979,0.4577430818200709,4.709031954223979,0.0,MODERATE,NO ALERT,NO ALERT,1.8961280097531241,12.0,21,10.2875,MODERATE,20260810,12
Odisha,Jharsuguda,14.15625,4.218104606795393,0.3,4.246875,0.0,MODERATE,NO ALERT,NO ALERT,1.211342738025922,12.0,29,17.148070635179458,MODERATE,20260810,12
Odisha,Keonjhar (Kendujhar),14.895833333333332,5.199206198362387,0.3490376189110414,5.199206198362387,0.0,MODERATE,NO ALERT,NO ALERT,1.3797936760587513,12.0,22,20.55317663295848,MODERATE,20260810,12
Odisha,Mayurbhanj,12.661764705882353,5.344965540421383,0.4221343283956493,5.344965540421383,0.0,MODERATE,NO ALERT,NO ALERT,1.5119733900790944,12.0,20,19.14425130673677,MODERATE,20260810,12
Odisha,Puri,12.234375,3.467215111244419,0.3,3.6703124999999996,0.0,MODERATE,NO ALERT,NO ALERT,1.7441866374869828,12.0,14,21.339033393004804,MODERATE,20260810,12
Odisha,Sambalpur,11.198863636363637,4.381324774717186,0.3912294065703829,4.381324774717186,0.0,MODERATE,NO ALERT,NO ALERT,1.9561284895203932,12.0,27,11.198863636363637,MODERATE,20260810,12
Odisha,Sundargarh,18.552884615384617,5.1898039106683935,0.3,5.5658653846153845,0.0,MODERATE,NO ALERT,NO ALERT,1.7753662830341794,12.0,26,32.9381657991774,MODERATE,20260810,12
Punjab,Pathankot,11.375,4.663179747984834,0.40994986795471067,4.663179747984834,0.0,MODERATE,NO ALERT,NO ALERT,2.7787135343168696,12.0,6,11.375,MODERATE,20260810,12
Rajasthan,Ajmer,20.908333333333335,2.7336556054644934,0.3,6.2725,0.0,MODERATE,NO ALERT,NO ALERT,0.7028391966786153,12.0,13,14.695196203888715,MODERATE,20260810,12
Rajasthan,Alwar,15.397321428571429,2.3151453828625015,0.3,4.619196428571429,0.0,MODERATE,NO ALERT,NO ALERT,1.1617755174066062,12.0,13,17.888231069354397,MODERATE,20260810,12
Rajasthan,Banswara,20.416666666666664,3.450848153046413,0.3,6.124999999999999,0.0,MODERATE,NO ALERT,NO ALERT,0.5158258158810899,12.0,22,10.531443740905583,MODERATE,20260810,12
