unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc
subbasin,ARA,Above Ramganga Confluence,Ganga Basin,Above Ramganga Confluence,39104.6123558,0.6002155172413793,4.128411058717648,3.0,1.800646551724138,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BAI,Baitarni,Brahmani and Baitarni Basin,Baitarni,14351.232989600001,7.901785714285714,5.073392019162789,0.6420563911256862,5.073392019162789,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BAM,Barmer,Indus (Up to border) Basin,Barmer,21658.9369285,0.0,0.6011549423281188,1.0,0.0,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BAN,Banas,Ganga Basin,Banas,51651.5088239,0.0008223684210526315,3.163486990432786,1.0,0.0008223684210526315,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BAR,Barak,Barak and others Basin,Barak,27658.980335700002,2.1220238095238093,5.384448400174802,2.537411868806078,5.384448400174802,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BEA,Beas,Indus (Up to border) Basin,Beas,19002.474906599997,0.06854838709677419,4.607842425587848,1.0,0.06854838709677419,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BHA,Bhadar and other west flowing rivers,West flowing rivers of Kutch and Saurashtra including Luni Basin,Bhadar and other west flowing rivers,18489.7027305,0.7866379310344828,3.048390897854381,3.0,2.3599137931034484,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BHG,Bhagirathi and others (Ganga Lower),Ganga Basin,Bhagirathi and others (Ganga Lower),64038.9710863,2.018880208333333,4.369842254925779,2.164488134010319,4.369842254925779,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BHL,Bhima Lower,Krishna Basin,Bhima Lower,23652.6979435,7.595588235294118,3.189625434215442,0.41993132531781235,3.189625434215442,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BHT,Bhatsol and others,West flowing rivers South of Tapi Basin,Bhatsol and others,29332.606177,10.168154761904763,9.226196555270334,0.9073619325540266,9.226196555270334,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BHU,Bhima Upper,Krishna Basin,Bhima Upper,44793.3226794,13.612704918032787,2.4692941352129383,0.3,4.083811475409836,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BRA,Brahmani,Brahmani and Baitarni Basin,Brahmani,37545.8337422,8.054956896551724,4.759374744157903,0.5908628444921116,4.759374744157903,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BRL,Brahmaputra Lower,Brahmaputra Basin,Brahmaputra Lower,87392.2235093,2.5305451127819545,5.406118424555701,2.136345405284036,5.406118424555701,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,BRU,Brahmaputra Upper,Brahmaputra Basin,Brahmaputra Upper,98972.86923639999,4.057119205298013,5.308245806743697,1.3083780727497216,5.308245806743697,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,CAL,Cauvery Lower,Cauvery Basin,Cauvery Lower,17386.448641799998,1.1704545454545454,3.2297957660883183,2.7594371593764273,3.2297957660883183,0.0,NO ALERT,NO ALERT,20260921,12
