unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Andhra Pradesh||Adilabad,Adilabad,,,,Andhra Pradesh,Adilabad,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,14.3777,14.3777,0.3000,4.3133,0.6537,12.0000,3,9.3985,0.0000,9.5974,MATCHED,4.7803,4.7803,49.80828140954842,2026-07-03 12:56:55
district,Andhra Pradesh||Adilabad,Adilabad,,,,Andhra Pradesh,Adilabad,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,17.3478,17.3478,0.3000,5.2043,0.6537,12.0000,3,11.3400,0.0000,9.5974,MATCHED,7.750399999999999,7.750399999999999,80.75520453456143,2026-07-03 17:42:45
district,Andhra Pradesh||Adilabad,Adilabad,,,,Andhra Pradesh,Adilabad,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,12.3207,12.3207,0.3308,4.0762,0.6537,12.0000,3,8.0538,0.0000,9.5974,MATCHED,2.7233,2.7233,28.375393335695083,2026-07-03 23:48:44
district,Uttar Pradesh||Agra,Agra,,,,Uttar Pradesh,Agra,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.7031,0.7031,3.0000,2.1094,1.0000,12.0000,0,0.7031,0.0000,11.1975,MATCHED,-10.4944,10.4944,-93.7209198481804,2026-07-03 12:56:55
district,Uttar Pradesh||Agra,Agra,,,,Uttar Pradesh,Agra,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0000,0.0000,1.0000,0.0000,1.0000,12.0000,0,0.0000,0.0000,11.1975,MATCHED,-11.1975,11.1975,-100.0,2026-07-03 17:42:45
district,Uttar Pradesh||Agra,Agra,,,,Uttar Pradesh,Agra,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.0000,0.0000,1.0000,0.0000,1.0000,12.0000,0,0.0000,0.0000,11.1975,MATCHED,-11.1975,11.1975,-100.0,2026-07-03 23:48:44
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,3.9938,3.9938,0.6335,2.5300,0.7698,12.0000,3,3.9938,0.0000,26.5088,MATCHED,-22.515,22.515,-84.93405963302753,2026-07-03 12:56:55
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,19.4000,19.4000,0.3000,5.8200,0.7698,12.0000,3,14.9332,0.0000,26.5088,MATCHED,-7.108800000000002,7.108800000000002,-26.816755190729126,2026-07-03 17:42:45
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,10.9813,10.9813,0.3000,3.2944,0.7698,12.0000,3,10.9813,0.0000,26.5088,MATCHED,-15.527500000000002,15.527500000000002,-58.57488833896669,2026-07-03 23:48:44
district,Maharashtra||Ahmednagar,Ahmednagar,,,,Maharashtra,Ahmednagar,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,26.4673,26.4673,0.3000,7.9402,0.2500,12.0000,11,6.6168,0.0000,3.2746,MATCHED,23.192700000000002,23.192700000000002,708.260550906981,2026-07-03 12:56:55
district,Maharashtra||Ahmednagar,Ahmednagar,,,,Maharashtra,Ahmednagar,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,34.8095,34.8095,0.3000,10.4429,0.2500,12.0000,11,8.7024,0.0000,3.2746,MATCHED,31.5349,31.5349,963.0153301166555,2026-07-03 17:42:45
district,Maharashtra||Ahmednagar,Ahmednagar,,,,Maharashtra,Ahmednagar,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,44.2321,44.2321,0.3000,13.2696,0.2500,12.0000,11,11.0580,0.0000,3.2746,MATCHED,40.9575,40.9575,1250.7634520246747,2026-07-03 23:48:44
