parent_type,parent_id,parent_name,parent_key,parent_state,parent_basin,parent_sub_basin,child_type,child_id,child_name,child_key,child_state,child_basin,child_sub_basin,intersection_area_sqkm,parent_overlap_pct,child_overlap_pct
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Aligarh,Aligarh,district||Uttar Pradesh||Aligarh,Uttar Pradesh,,,155.9974,0.39,4.21
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Almora,Almora,district||Uttarakhand||Almora,Uttarakhand,,,43.0671,0.11,1.37
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Amroha,Amroha,district||Uttar Pradesh||Amroha,Uttar Pradesh,,,1864.6943,4.63,75.96
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Bageshwar,Bageshwar,district||Uttarakhand||Bageshwar,Uttarakhand,,,576.1879,1.43,25.77
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Bijnor,Bijnor,district||Uttar Pradesh||Bijnor,Uttar Pradesh,,,1920.7405,4.77,41.74
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Budaun,Budaun,district||Uttar Pradesh||Budaun,Uttar Pradesh,,,3390.5574,8.42,79.62
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Bulandshahr,Bulandshahr,district||Uttar Pradesh||Bulandshahr,Uttar Pradesh,,,523.9605,1.3,14.9
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Chamoli,Chamoli,district||Uttarakhand||Chamoli,Uttarakhand,,,7459.6521,18.53,95.36
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Dehradun,Dehradun,district||Uttarakhand||Dehradun,Uttarakhand,,,999.9967,2.48,32.35
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Etah,Etah,district||Uttar Pradesh||Etah,Uttar Pradesh,,,210.0354,0.52,8.65
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Farrukhabad,Farrukhabad,district||Uttar Pradesh||Farrukhabad,Uttar Pradesh,,,1399.2982,3.48,64.29
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Hapur,Hapur,district||Uttar Pradesh||Hapur,Uttar Pradesh,,,307.4346,0.76,27.48
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Hardoi,Hardoi,district||Uttar Pradesh||Hardoi,Uttar Pradesh,,,2.931,0.01,0.05
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Haridwar,Haridwar,district||Uttarakhand||Haridwar,Uttarakhand,,,1984.2584,4.93,86.43
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Kasganj,Kasganj,district||Uttar Pradesh||Kasganj,Uttar Pradesh,,,1182.2903,2.94,60.44
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Himachal Pradesh||Kinnaur,Kinnaur,district||Himachal Pradesh||Kinnaur,Himachal Pradesh,,,260.1959,0.65,4.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Meerut,Meerut,district||Uttar Pradesh||Meerut,Uttar Pradesh,,,489.4084,1.22,18.86
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Moradabad,Moradabad,district||Uttar Pradesh||Moradabad,Uttar Pradesh,,,3.4798,0.01,0.18
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Muzaffarnagar,Muzaffarnagar,district||Uttar Pradesh||Muzaffarnagar,Uttar Pradesh,,,490.4428,1.22,17.9
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Pauri Garhwal,Pauri Garhwal,district||Uttarakhand||Pauri Garhwal,Uttarakhand,,,3307.6583,8.22,62.59
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Pithoragarh,Pithoragarh,district||Uttarakhand||Pithoragarh,Uttarakhand,,,423.4218,1.05,5.85
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Rudraprayag,Rudraprayag,district||Uttarakhand||Rudraprayag,Uttarakhand,,,1989.5839,4.94,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Saharanpur,Saharanpur,district||Uttar Pradesh||Saharanpur,Uttar Pradesh,,,189.4997,0.47,5.1
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Sambhal,Sambhal,district||Uttar Pradesh||Sambhal,Uttar Pradesh,,,2131.8201,5.3,87.77
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttar Pradesh||Shahjahanpur,Shahjahanpur,district||Uttar Pradesh||Shahjahanpur,Uttar Pradesh,,,408.6551,1.02,9.49
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Tehri Garhwal,Tehri Garhwal,district||Uttarakhand||Tehri Garhwal,Uttarakhand,,,3469.9437,8.62,89.01
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,district,Uttarakhand||Uttarkashi,Uttarkashi,district||Uttarakhand||Uttarkashi,Uttarakhand,,,5025.9401,12.48,62.86
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Anugul,Anugul,district||Odisha||Anugul,Odisha,,,31.7067,0.21,0.5
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Balasore (Baleshwar),Balasore (Baleshwar),district||Odisha||Balasore (Baleshwar),Odisha,,,1088.7122,7.3,29.31
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Bhadrak,Bhadrak,district||Odisha||Bhadrak,Odisha,,,2486.3075,16.68,99.13
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Jajapur,Jajapur,district||Odisha||Jajapur,Odisha,,,547.8849,3.68,18.91
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Kendraparha,Kendraparha,district||Odisha||Kendraparha,Odisha,,,113.9964,0.76,4.49
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Keonjhar (Kendujhar),Keonjhar (Kendujhar),district||Odisha||Keonjhar (Kendujhar),Odisha,,,6696.0181,44.92,80.72
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Mayurbhanj,Mayurbhanj,district||Odisha||Mayurbhanj,Odisha,,,3020.6803,20.26,29.02
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Sundargarh,Sundargarh,district||Odisha||Sundargarh,Odisha,,,183.0158,1.23,1.88
