parent_type,parent_id,parent_name,parent_key,parent_state,parent_basin,parent_sub_basin,child_type,child_id,child_name,child_key,child_state,child_basin,child_sub_basin,intersection_area_sqkm,parent_overlap_pct,child_overlap_pct
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,A01SUU20,Watershed A01SUU20,watershed||A01SUU20,,Indus (Up to border) Basin,Sutlaj Upper,8.8848,0.02,1.17
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA01,Watershed C2AARA01,watershed||C2AARA01,,Ganga Basin,Above Ramganga Confluence,629.9536,1.56,98.76
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA02,Watershed C2AARA02,watershed||C2AARA02,,Ganga Basin,Above Ramganga Confluence,576.1093,1.43,97.61
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA03,Watershed C2AARA03,watershed||C2AARA03,,Ganga Basin,Above Ramganga Confluence,477.748,1.19,98.3
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA04,Watershed C2AARA04,watershed||C2AARA04,,Ganga Basin,Above Ramganga Confluence,901.5946,2.24,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA05,Watershed C2AARA05,watershed||C2AARA05,,Ganga Basin,Above Ramganga Confluence,563.9974,1.4,96.02
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA06,Watershed C2AARA06,watershed||C2AARA06,,Ganga Basin,Above Ramganga Confluence,821.1546,2.04,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA07,Watershed C2AARA07,watershed||C2AARA07,,Ganga Basin,Above Ramganga Confluence,548.3466,1.36,96.89
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA08,Watershed C2AARA08,watershed||C2AARA08,,Ganga Basin,Above Ramganga Confluence,473.0303,1.17,97.48
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA09,Watershed C2AARA09,watershed||C2AARA09,,Ganga Basin,Above Ramganga Confluence,734.7521,1.83,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA10,Watershed C2AARA10,watershed||C2AARA10,,Ganga Basin,Above Ramganga Confluence,711.9187,1.77,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA11,Watershed C2AARA11,watershed||C2AARA11,,Ganga Basin,Above Ramganga Confluence,578.4158,1.44,99.89
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA12,Watershed C2AARA12,watershed||C2AARA12,,Ganga Basin,Above Ramganga Confluence,721.6577,1.79,98.75
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA13,Watershed C2AARA13,watershed||C2AARA13,,Ganga Basin,Above Ramganga Confluence,852.5302,2.12,97.66
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA14,Watershed C2AARA14,watershed||C2AARA14,,Ganga Basin,Above Ramganga Confluence,498.0016,1.24,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA15,Watershed C2AARA15,watershed||C2AARA15,,Ganga Basin,Above Ramganga Confluence,939.2024,2.33,98.44
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA16,Watershed C2AARA16,watershed||C2AARA16,,Ganga Basin,Above Ramganga Confluence,625.4275,1.55,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA17,Watershed C2AARA17,watershed||C2AARA17,,Ganga Basin,Above Ramganga Confluence,874.4821,2.17,98.53
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA18,Watershed C2AARA18,watershed||C2AARA18,,Ganga Basin,Above Ramganga Confluence,528.262,1.31,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA19,Watershed C2AARA19,watershed||C2AARA19,,Ganga Basin,Above Ramganga Confluence,542.2141,1.35,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA20,Watershed C2AARA20,watershed||C2AARA20,,Ganga Basin,Above Ramganga Confluence,1130.4803,2.81,97.7
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA21,Watershed C2AARA21,watershed||C2AARA21,,Ganga Basin,Above Ramganga Confluence,786.0728,1.95,99.44
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA22,Watershed C2AARA22,watershed||C2AARA22,,Ganga Basin,Above Ramganga Confluence,795.683,1.98,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA23,Watershed C2AARA23,watershed||C2AARA23,,Ganga Basin,Above Ramganga Confluence,907.1223,2.25,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA24,Watershed C2AARA24,watershed||C2AARA24,,Ganga Basin,Above Ramganga Confluence,1062.5557,2.64,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA25,Watershed C2AARA25,watershed||C2AARA25,,Ganga Basin,Above Ramganga Confluence,776.5386,1.93,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA26,Watershed C2AARA26,watershed||C2AARA26,,Ganga Basin,Above Ramganga Confluence,939.0341,2.33,99.17
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA27,Watershed C2AARA27,watershed||C2AARA27,,Ganga Basin,Above Ramganga Confluence,957.2355,2.38,99.94
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA28,Watershed C2AARA28,watershed||C2AARA28,,Ganga Basin,Above Ramganga Confluence,512.9738,1.27,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA29,Watershed C2AARA29,watershed||C2AARA29,,Ganga Basin,Above Ramganga Confluence,784.7257,1.95,99.44
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA30,Watershed C2AARA30,watershed||C2AARA30,,Ganga Basin,Above Ramganga Confluence,924.1814,2.3,98.46
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA31,Watershed C2AARA31,watershed||C2AARA31,,Ganga Basin,Above Ramganga Confluence,585.7651,1.46,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA32,Watershed C2AARA32,watershed||C2AARA32,,Ganga Basin,Above Ramganga Confluence,662.5403,1.65,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA33,Watershed C2AARA33,watershed||C2AARA33,,Ganga Basin,Above Ramganga Confluence,889.1968,2.21,98.93
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA34,Watershed C2AARA34,watershed||C2AARA34,,Ganga Basin,Above Ramganga Confluence,988.6708,2.46,98.99
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA35,Watershed C2AARA35,watershed||C2AARA35,,Ganga Basin,Above Ramganga Confluence,601.9326,1.5,98.79
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA36,Watershed C2AARA36,watershed||C2AARA36,,Ganga Basin,Above Ramganga Confluence,472.9309,1.17,98.31
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA37,Watershed C2AARA37,watershed||C2AARA37,,Ganga Basin,Above Ramganga Confluence,613.0078,1.52,99.77
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA38,Watershed C2AARA38,watershed||C2AARA38,,Ganga Basin,Above Ramganga Confluence,846.0213,2.1,98.21
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA39,Watershed C2AARA39,watershed||C2AARA39,,Ganga Basin,Above Ramganga Confluence,1071.6755,2.66,96.29
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA40,Watershed C2AARA40,watershed||C2AARA40,,Ganga Basin,Above Ramganga Confluence,959.3385,2.38,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA41,Watershed C2AARA41,watershed||C2AARA41,,Ganga Basin,Above Ramganga Confluence,703.3069,1.75,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA42,Watershed C2AARA42,watershed||C2AARA42,,Ganga Basin,Above Ramganga Confluence,1023.2848,2.54,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA43,Watershed C2AARA43,watershed||C2AARA43,,Ganga Basin,Above Ramganga Confluence,529.2095,1.31,97.74
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA44,Watershed C2AARA44,watershed||C2AARA44,,Ganga Basin,Above Ramganga Confluence,1383.2331,3.44,100.0
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA45,Watershed C2AARA45,watershed||C2AARA45,,Ganga Basin,Above Ramganga Confluence,904.08,2.25,97.14
subbasin,ARA,Above Ramganga Confluence,subbasin||ARA,,Ganga Basin,Above Ramganga Confluence,watershed,C2AARA46,Watershed C2AARA46,watershed||C2AARA46,,Ganga Basin,Above Ramganga Confluence,499.2253,1.24,100.0
