district,basin
Papum Pare,Brahmaputra Basin
Tawang,Brahmaputra Basin
Tirap,Brahmaputra Basin
Upper Dibang Valley,Brahmaputra Basin
Upper Siang,Brahmaputra Basin
Upper Subansiri,Brahmaputra Basin
West Kameng,Brahmaputra Basin
West Siang,Brahmaputra Basin
Barpeta,Brahmaputra Basin
Bongaigaon,Brahmaputra Basin
Cachar,Barak and others Basin
Cachar,Brahmaputra Basin
Darrang,Brahmaputra Basin
Dhemaji,Brahmaputra Basin
Dhuburi,Brahmaputra Basin
Dibrugarh,Brahmaputra Basin
Goalpara,Brahmaputra Basin
Golaghat,Brahmaputra Basin
Hailakandi,Barak and others Basin
Jorhat,Brahmaputra Basin
Kamrup,Brahmaputra Basin
Karbi Anglong,Brahmaputra Basin
Karimganj,Barak and others Basin
Kokrajhar,Brahmaputra Basin
Lakhimpur,Brahmaputra Basin
Marigaon,Brahmaputra Basin
Nagaon,Brahmaputra Basin
Nalbari,Brahmaputra Basin
North Cachar Hills,Barak and others Basin
North Cachar Hills,Brahmaputra Basin
Sibsagar,Brahmaputra Basin
Sonitpur,Brahmaputra Basin
Tinsukia,Brahmaputra Basin
Araria,Ganga Basin
Aurangabad,Ganga Basin
Banka,Ganga Basin
Begusarai,Ganga Basin
Bhabua,Ganga Basin
Bhagalpur,Ganga Basin
Bhojpur,Ganga Basin
Buxar,Ganga Basin
Darbhanga,Ganga Basin
Gaya,Ganga Basin
Gopalganj,Ganga Basin
Jamui,Ganga Basin
Jehanabad,Ganga Basin
Katihar,Ganga Basin
Khagaria,Ganga Basin
Kishanganj,Ganga Basin
Lakhisarai,Ganga Basin
Madhepura,Ganga Basin
Madhubani,Ganga Basin
Munger,Ganga Basin
Muzaffarpur,Ganga Basin
Nalanda,Ganga Basin
Nawada,Ganga Basin
Pashchim Champaran,Ganga Basin
Patna,Ganga Basin
Purba Champaran,Ganga Basin
Purnia,Ganga Basin
Rohtas,Ganga Basin
Saharsa,Ganga Basin
Samastipur,Ganga Basin
Saran,Ganga Basin
Sheikhpura,Ganga Basin
Sheohar,Ganga Basin
Tikamgarh,Ganga Basin
Ujjain,Mahi Basin
Ujjain,Ganga Basin
Umaria,Narmada Basin
Umaria,Ganga Basin
Vidisha,Ganga Basin
West Nimar,Tapi Basin
West Nimar,Narmada Basin
Ahmednagar,Krishna Basin
Ahmednagar,West flowing rivers South of Tapi Basin
Ahmednagar,Godavari Basin
Akola,Godavari Basin
Akola,Tapi Basin
Amravati,Godavari Basin
Amravati,Tapi Basin
Aurangabad,Godavari Basin
Aurangabad,Tapi Basin
Bhandara,Godavari Basin
Bid,Godavari Basin
Bid,Krishna Basin
Buldana,Godavari Basin
Buldana,Tapi Basin
Chandrapur,Godavari Basin
Dhule,West flowing rivers South of Tapi Basin
Dhule,Tapi Basin
Dhule,Narmada Basin
Garhchiroli,Godavari Basin
Garhchiroli,Mahanadi Basin
Gondiya,Godavari Basin
Gondiya,Mahanadi Basin
Greater Bombay,West flowing rivers South of Tapi Basin
Hingoli,Godavari Basin
Jalgaon,Godavari Basin
Jalgaon,Tapi Basin
Jalgaon,Narmada Basin
Jalna,Godavari Basin
Jalna,Tapi Basin
Kolhapur,West flowing rivers South of Tapi Basin
Kolhapur,Krishna Basin
Latur,Krishna Basin
Latur,Godavari Basin
Nagpur,Godavari Basin
Nanded,Godavari Basin
Nandurbar,West flowing rivers South of Tapi Basin
Nandurbar,Tapi Basin
Nandurbar,Narmada Basin
Nashik,West flowing rivers South of Tapi Basin
Nashik,Godavari Basin
Nashik,Tapi Basin
Osmanabad,Krishna Basin
Osmanabad,Godavari Basin
Parbhani,Godavari Basin
Balaghat,Godavari Basin
Balaghat,Narmada Basin
Barwani,Tapi Basin
Barwani,Narmada Basin
Betul,Godavari Basin
Betul,Narmada Basin
Betul,Tapi Basin
Bhind,Ganga Basin
Bhopal,Ganga Basin
Bhopal,Narmada Basin
Burhanpur,Tapi Basin
Burhanpur,Narmada Basin
Chhatarpur,Ganga Basin
Chhindwara,Godavari Basin
Chhindwara,Narmada Basin
Damoh,Narmada Basin
Damoh,Ganga Basin
Karauli,Ganga Basin
Kota,Ganga Basin
Nagaur,Ganga Basin
Nagaur,West flowing rivers of Kutch and Saurashtra including Luni Basin
Nagaur,Indus (Up to border) Basin
Pali,Sabarmati Basin
Pali,West flowing rivers of Kutch and Saurashtra including Luni Basin
Rajsamand,Ganga Basin
Rajsamand,West flowing rivers of Kutch and Saurashtra including Luni Basin
Sawai Madhopur,Ganga Basin
Sikar,Ganga Basin
Sikar,Indus (Up to border) Basin
Sikar,West flowing rivers of Kutch and Saurashtra including Luni Basin
Sirohi,Sabarmati Basin
Sirohi,West flowing rivers of Kutch and Saurashtra including Luni Basin
Madurai,East flowing rivers South of Cauvery Basin
Nagapattinam,Cauvery Basin
Namakkal,Cauvery Basin
Namakkal,East flowing rivers between Pennar and Cauvery Basin
Nilgiris,West flowing rivers South of Tapi Basin
Nilgiris,Cauvery Basin
Perambalur,Cauvery Basin
